,FSU,Schedule,Survey Year,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,Level,Filler,HH size,Religion,Social group,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Usual monthly expenses - ABCD,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
696,TUS20639,106,2019,2,14,1,4,01,01,1,0120,07,3,0,5,2,9,2,11000,1700,0,0,12700,2,1,1,2,3,0,004,0000018550
697,TUS20639,106,2019,2,14,1,4,01,01,1,0120,08,3,0,4,2,1,2,18000,1200,0,3000,19450,2,1,1,2,3,0,004,0000018550
698,TUS20639,106,2019,2,14,1,4,01,01,1,0120,09,3,0,3,2,1,2,8000,0,0,0,8000,2,1,2,2,3,0,004,0000018550
699,TUS20639,106,2019,2,14,1,4,01,01,1,0120,10,3,0,4,2,9,1,13000,5000,2000,0,20000,2,1,1,2,3,0,004,0000018550
700,TUS20639,106,2019,2,14,1,4,01,01,1,0120,11,3,0,4,2,1,1,8500,0,0,1500,8625,2,1,1,2,3,0,004,0000018550
701,TUS20639,106,2019,2,14,1,4,01,01,1,0120,12,3,0,4,2,1,2,9000,1500,0,1000,10583,2,1,2,2,3,0,004,0000018550
702,TUS20639,106,2019,2,14,1,4,01,01,1,0120,13,3,0,4,2,9,1,7000,1500,0,0,8500,2,1,2,2,3,0,004,0000018550
703,TUS20639,106,2019,2,14,1,4,01,01,1,0120,14,3,0,2,2,9,1,7000,0,0,0,7000,2,1,2,2,3,0,004,0000018550
704,TUS20705,106,2019,2,12,1,20,01,01,3,0111,01,3,0,4,1,9,3,5000,0,0,1200,5100,2,1,2,2,2,2,004,0000072738
705,TUS20705,106,2019,2,12,1,20,01,01,3,0111,02,3,0,2,1,9,1,10000,0,0,0,10000,2,1,1,2,3,2,004,0000072738
706,TUS20705,106,2019,2,12,1,20,01,01,3,0111,03,3,0,4,1,9,1,10000,0,100,8000,10767,2,1,2,2,3,2,004,0000072738
707,TUS20705,106,2019,2,12,1,20,01,01,3,0111,04,3,0,6,1,9,2,20000,0,200,3000,20450,2,1,1,2,3,2,004,0000072738
708,TUS20705,106,2019,2,12,1,20,01,01,3,0111,05,3,0,2,1,9,1,10000,0,0,0,10000,2,1,2,2,3,2,004,0000072738
709,TUS20705,106,2019,2,12,1,20,01,01,3,0111,06,3,0,1,1,9,1,6000,0,0,6000,6500,2,1,2,2,3,0,004,0000072738
710,TUS20705,106,2019,2,12,1,20,01,01,3,0111,07,3,0,7,1,9,4,15000,200,0,2000,15367,2,1,2,1,3,2,004,0000072738
711,TUS20705,106,2019,2,12,1,20,01,01,3,0111,08,3,0,4,1,9,3,20000,1000,200,9500,21992,2,1,1,2,3,2,004,0000072738
712,TUS20705,106,2019,2,12,1,20,01,01,3,0111,09,3,0,4,1,9,1,10000,0,200,0,10200,2,1,1,2,3,2,004,0000072738
713,TUS20705,106,2019,2,12,1,20,01,01,3,0111,10,3,0,2,1,9,1,8000,0,0,0,8000,2,1,2,2,3,2,004,0000072738
714,TUS20705,106,2019,2,12,1,20,01,01,3,0111,11,3,0,4,1,9,1,10000,0,200,1200,10300,2,1,2,2,3,2,004,0000072738
715,TUS20705,106,2019,2,12,1,20,01,01,3,0111,12,3,0,5,1,9,1,8000,0,0,0,8000,5,1,2,2,3,2,004,0000072738
716,TUS20705,106,2019,2,12,1,20,01,01,3,0111,13,3,0,6,1,9,1,6000,0,100,0,6100,2,1,1,2,3,2,004,0000072738
717,TUS20705,106,2019,2,12,1,20,01,01,3,0111,14,3,0,5,1,9,1,20000,0,200,3000,20450,2,1,1,2,3,2,004,0000072738
718,TUS21075,106,2019,2,13,1,10,03,02,3,0120,01,3,0,9,2,9,1,20000,0,0,6800,20567,2,1,1,2,3,0,003,0000282024
719,TUS21075,106,2019,2,13,1,10,03,02,3,0120,02,3,0,3,2,9,1,9000,0,0,2409,9201,2,1,2,2,3,0,003,0000282024
720,TUS21075,106,2019,2,13,1,10,03,02,3,0120,03,3,0,3,2,9,1,17000,0,0,2300,17192,2,1,1,2,3,0,003,0000282024
721,TUS21075,106,2019,2,13,1,10,03,02,3,0120,04,3,0,4,2,9,2,13000,0,0,2700,13225,2,1,1,2,3,0,003,0000282024
722,TUS21075,106,2019,2,13,1,10,03,02,3,0120,05,3,0,5,2,9,2,20000,0,0,5900,20492,2,1,1,2,3,0,003,0000282024
723,TUS21075,106,2019,2,13,1,10,03,02,3,0120,06,3,0,6,2,9,3,20000,0,0,4300,20358,2,1,2,2,3,0,003,0000282024
724,TUS21075,106,2019,2,13,1,10,03,02,3,0120,07,3,0,5,2,9,2,25000,0,0,5000,25417,2,1,1,2,3,0,003,0000282024
725,TUS21075,106,2019,2,13,1,10,03,02,3,0120,08,3,0,8,2,9,2,30000,0,0,5000,30417,2,1,1,2,3,0,003,0000282024
726,TUS21075,106,2019,2,13,1,10,03,02,3,0120,09,3,0,4,2,9,1,12000,0,0,3200,12267,2,1,1,2,3,0,003,0000282024
727,TUS21075,106,2019,2,13,1,10,03,02,3,0120,10,3,0,4,2,9,1,20000,0,0,2300,20192,2,1,1,2,3,0,003,0000282024
728,TUS21075,106,2019,2,13,1,10,03,02,3,0120,11,3,0,5,2,9,2,30000,0,0,5700,30475,2,1,1,2,3,0,003,0000282024
729,TUS21075,106,2019,2,13,1,10,03,02,3,0120,12,3,0,3,2,9,1,15000,0,0,1400,15117,2,1,1,2,3,0,003,0000282024
730,TUS21075,106,2019,2,13,1,10,03,02,3,0120,13,3,0,5,2,9,1,20000,0,0,5400,20450,2,1,1,2,3,0,003,0000282024
731,TUS21075,106,2019,2,13,1,10,03,02,3,0120,14,3,0,5,2,9,3,25000,5700,6500,0,37200,2,1,1,2,3,0,003,0000282024
732,TUS21119,106,2019,2,11,1,21,01,01,4,0110,01,3,0,3,1,2,1,7000,0,0,0,7000,2,1,2,2,3,2,004,0000093954
733,TUS21119,106,2019,2,11,1,21,01,01,4,0110,02,3,0,4,1,2,1,6000,0,0,0,6000,2,1,2,2,3,2,004,0000093954
734,TUS21119,106,2019,2,11,1,21,01,01,4,0110,03,3,0,4,1,2,1,6000,0,0,0,6000,2,1,1,2,3,1,004,0000093954
735,TUS21119,106,2019,2,11,1,21,01,01,4,0110,04,3,0,4,1,2,1,20000,0,0,23000,21917,2,1,1,2,3,2,004,0000093954
736,TUS21119,106,2019,2,11,1,21,01,01,4,0110,05,3,0,4,1,2,1,20000,0,0,0,20000,2,1,1,2,3,2,004,0000093954
737,TUS21119,106,2019,2,11,1,21,01,01,4,0110,06,3,0,3,1,2,1,6000,0,0,0,6000,1,1,2,2,3,2,004,0000093954
738,TUS21119,106,2019,2,11,1,21,01,01,4,0110,07,3,0,4,1,2,2,20000,500,1000,0,21500,2,1,2,2,3,2,004,0000093954
739,TUS21119,106,2019,2,11,1,21,01,01,4,0110,08,3,0,4,1,2,1,8000,0,0,0,8000,2,1,2,2,3,2,004,0000093954
740,TUS21119,106,2019,2,11,1,21,01,01,4,0110,09,3,0,2,1,2,1,3000,0,0,0,3000,1,1,2,2,3,2,004,0000093954
741,TUS21119,106,2019,2,11,1,21,01,01,4,0110,10,3,0,3,1,2,1,20000,0,0,0,20000,2,1,1,2,3,2,004,0000093954
742,TUS21119,106,2019,2,11,1,21,01,01,4,0110,11,3,0,2,1,2,1,5000,0,0,0,5000,1,1,2,2,3,2,004,0000093954
743,TUS21119,106,2019,2,11,1,21,01,01,4,0110,12,3,0,5,1,2,2,20000,0,0,18000,21500,2,1,1,2,3,2,004,0000093954
744,TUS21119,106,2019,2,11,1,21,01,01,4,0110,13,3,0,9,1,2,1,20000,0,0,0,20000,2,1,2,2,3,2,004,0000093954
745,TUS21119,106,2019,2,11,1,21,01,01,4,0110,14,3,0,4,1,2,1,6000,0,0,0,6000,2,1,1,2,3,2,004,0000093954
746,TUS21182,106,2019,2,13,1,10,03,02,2,0120,01,3,0,6,2,9,2,20000,0,0,0,20000,2,1,1,2,3,2,003,0000230524
747,TUS21182,106,2019,2,13,1,10,03,02,2,0120,02,3,0,7,2,9,2,35000,0,0,100000,43333,2,1,1,1,3,2,003,0000230524
748,TUS21182,106,2019,2,13,1,10,03,02,2,0120,03,3,0,5,2,9,2,10000,0,0,0,10000,2,1,1,2,3,2,003,0000230524
749,TUS21182,106,2019,2,13,1,10,03,02,2,0120,04,3,0,5,2,9,2,15000,0,0,0,15000,2,1,2,2,3,2,003,0000230524
750,TUS21182,106,2019,2,13,1,10,03,02,2,0120,05,3,0,6,2,9,2,15000,0,0,0,15000,2,1,1,2,3,2,003,0000230524
751,TUS21182,106,2019,2,13,1,10,03,02,2,0120,06,3,0,8,2,9,1,13000,0,0,0,13000,2,1,2,2,3,2,003,0000230524
752,TUS21182,106,2019,2,13,1,10,03,02,2,0120,07,3,0,4,2,9,1,9000,0,0,0,9000,2,1,2,2,3,2,003,0000230524
753,TUS21182,106,2019,2,13,1,10,03,02,2,0120,08,3,0,7,2,9,3,30000,0,0,15000,31250,2,1,1,2,3,2,003,0000230524
754,TUS21182,106,2019,2,13,1,10,03,02,2,0120,09,3,0,7,2,9,2,16000,0,0,0,16000,2,1,1,2,3,2,003,0000230524
755,TUS21182,106,2019,2,13,1,10,03,02,2,0120,10,3,0,5,2,9,2,10000,0,0,500000,51667,2,1,1,2,3,2,003,0000230524
756,TUS21182,106,2019,2,13,1,10,03,02,2,0120,11,3,0,5,2,9,1,6000,0,0,0,6000,2,1,2,2,3,2,003,0000230524
757,TUS21182,106,2019,2,13,1,10,03,02,2,0120,12,3,0,3,2,9,1,8000,0,0,0,8000,2,1,2,2,3,2,003,0000230524
758,TUS21182,106,2019,2,13,1,10,03,02,2,0120,13,3,0,2,2,9,1,6000,0,0,0,6000,2,1,2,2,3,2,003,0000230524
759,TUS21182,106,2019,2,13,1,10,03,02,2,0120,14,3,0,1,2,9,1,4500,0,0,0,4500,2,1,2,2,3,0,003,0000230524
760,TUS21222,106,2019,2,13,1,8,01,01,3,0122,01,3,0,4,1,3,3,5800,500,0,6000,6800,2,1,1,1,3,2,003,0000051176
761,TUS21222,106,2019,2,13,1,8,01,01,3,0122,02,3,0,5,1,3,3,6000,400,100,9600,7300,2,1,1,1,3,0,003,0000051176
762,TUS21222,106,2019,2,13,1,8,01,01,3,0122,03,3,0,4,1,3,3,15800,600,0,12000,17400,2,1,1,1,3,2,003,0000051176
763,TUS21222,106,2019,2,13,1,8,01,01,3,0122,04,3,0,2,2,3,3,3500,300,550,2500,4558,2,1,1,2,2,2,003,0000051176
764,TUS21222,106,2019,2,13,1,8,01,01,3,0122,05,3,0,5,1,2,3,8000,500,600,6000,9600,2,1,1,1,3,0,003,0000051176
765,TUS21222,106,2019,2,13,1,8,01,01,3,0122,06,3,0,4,1,3,3,25000,800,1000,15000,28050,2,1,1,1,3,2,003,0000051176
766,TUS21222,106,2019,2,13,1,8,01,01,3,0122,07,3,0,7,1,3,3,6000,500,800,1800,7450,2,1,1,1,3,0,003,0000051176
767,TUS21222,106,2019,2,13,1,8,01,01,3,0122,08,3,0,1,1,3,3,3000,0,500,8400,4200,2,1,2,2,3,0,003,0000051176
