,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
50910,20124,2,01,011,07,02,01,02,001,022,22:00,23:00,2,0,1,313,1,03,0,000
50911,20124,2,01,011,07,02,01,02,001,023,23:00,04:00,2,0,1,911,1,01,0,000
50912,20124,2,01,011,07,02,01,02,002,001,04:00,05:30,2,0,1,911,1,01,0,000
50913,20124,2,01,011,07,02,01,02,002,002,05:30,06:00,2,0,1,931,1,01,0,000
50914,20124,2,01,011,07,02,01,02,002,003,06:00,07:00,1,2,1,921,1,01,0,000
50915,20124,2,01,011,07,02,01,02,002,004,06:00,07:00,0,0,2,182,2,01,0,000
50916,20124,2,01,011,07,02,01,02,002,005,07:00,12:00,1,2,1,131,2,14,1,000
50917,20124,2,01,011,07,02,01,02,002,006,07:00,12:00,0,0,2,719,2,01,0,000
50918,20124,2,01,011,07,02,01,02,002,007,12:00,13:00,1,2,1,182,2,01,0,000
50919,20124,2,01,011,07,02,01,02,002,008,12:00,13:00,0,0,2,921,1,01,0,000
50920,20124,2,01,011,07,02,01,02,002,009,13:00,14:00,1,2,1,850,1,01,0,000
50921,20124,2,01,011,07,02,01,02,002,010,13:00,14:00,0,0,2,719,1,01,0,000
50922,20124,2,01,011,07,02,01,02,002,011,14:00,16:00,2,0,1,912,1,01,0,000
50923,20124,2,01,011,07,02,01,02,002,012,16:00,16:30,2,0,1,182,2,01,0,000
50924,20124,2,01,011,07,02,01,02,002,013,16:30,19:30,2,0,1,131,2,14,1,000
50925,20124,2,01,011,07,02,01,02,002,014,19:30,20:00,2,0,1,182,2,01,0,000
50926,20124,2,01,011,07,02,01,02,002,015,20:00,21:00,1,2,1,931,1,01,0,000
50927,20124,2,01,011,07,02,01,02,002,016,20:00,21:00,0,0,2,850,1,01,0,000
50928,20124,2,01,011,07,02,01,02,002,017,21:00,22:00,1,1,1,921,1,01,0,000
50929,20124,2,01,011,07,02,01,02,002,018,21:00,22:00,0,0,2,711,1,01,0,000
50930,20124,2,01,011,07,02,01,02,002,019,22:00,23:00,1,2,1,842,1,01,0,000
50931,20124,2,01,011,07,02,01,02,002,020,22:00,23:00,0,0,2,719,1,01,0,000
50932,20124,2,01,011,07,02,01,02,002,021,23:00,04:00,2,0,1,911,1,01,0,000
50933,20124,2,01,011,07,02,01,02,003,001,04:00,05:30,2,0,1,911,1,01,0,000
50934,20124,2,01,011,07,02,01,02,003,002,05:30,06:00,2,0,1,931,1,01,0,000
50935,20124,2,01,011,07,02,01,02,003,003,06:00,07:00,1,2,1,921,1,01,0,000
50936,20124,2,01,011,07,02,01,02,003,004,06:00,07:00,0,0,2,842,1,01,0,000
50937,20124,2,01,011,07,02,01,02,003,005,07:00,09:00,1,1,1,850,1,01,0,000
50938,20124,2,01,011,07,02,01,02,003,006,07:00,09:00,0,0,2,719,1,01,0,000
50939,20124,2,01,011,07,02,01,02,003,007,09:00,11:00,2,0,1,842,1,01,0,000
50940,20124,2,01,011,07,02,01,02,003,008,11:00,12:00,2,0,1,850,1,01,0,000
50941,20124,2,01,011,07,02,01,02,003,009,12:00,13:00,1,2,1,921,1,01,0,000
50942,20124,2,01,011,07,02,01,02,003,010,12:00,13:00,0,0,2,182,2,01,0,000
50943,20124,2,01,011,07,02,01,02,003,011,13:00,16:00,2,0,1,131,2,14,1,000
50944,20124,2,01,011,07,02,01,02,003,012,16:00,17:00,1,2,1,182,2,01,0,000
50945,20124,2,01,011,07,02,01,02,003,013,16:00,17:00,0,0,2,850,1,01,0,000
50946,20124,2,01,011,07,02,01,02,003,014,17:00,18:30,2,0,1,832,2,01,0,000
50947,20124,2,01,011,07,02,01,02,003,015,18:30,19:00,1,2,1,931,1,01,0,000
50948,20124,2,01,011,07,02,01,02,003,016,18:30,19:00,0,0,2,850,1,01,0,000
50949,20124,2,01,011,07,02,01,02,003,017,19:00,21:00,1,2,1,842,1,01,0,000
50950,20124,2,01,011,07,02,01,02,003,018,19:00,21:00,0,0,2,719,1,01,0,000
50951,20124,2,01,011,07,02,01,02,003,019,21:00,22:00,1,2,1,921,1,01,0,000
50952,20124,2,01,011,07,02,01,02,003,020,21:00,22:00,0,0,2,711,1,01,0,000
50953,20124,2,01,011,07,02,01,02,003,021,22:00,23:00,2,0,1,719,1,01,0,000
50954,20124,2,01,011,07,02,01,02,003,022,23:00,04:00,2,0,1,911,1,01,0,000
50955,20124,2,01,011,07,02,01,02,004,001,04:00,06:00,2,0,1,911,1,01,0,000
50956,20124,2,01,011,07,02,01,02,004,002,06:00,06:30,2,0,1,931,1,01,0,000
50957,20124,2,01,011,07,02,01,02,004,003,06:30,07:00,2,0,1,319,1,03,0,000
50958,20124,2,01,011,07,02,01,02,004,004,07:00,08:00,2,0,1,921,1,01,0,000
50959,20124,2,01,011,07,02,01,02,004,005,08:00,09:30,1,2,1,931,1,01,0,000
50960,20124,2,01,011,07,02,01,02,004,006,08:00,09:30,0,0,2,850,1,01,0,000
50961,20124,2,01,011,07,02,01,02,004,007,09:30,10:00,2,0,1,640,2,01,0,000
50962,20124,2,01,011,07,02,01,02,004,008,10:00,12:00,2,0,1,611,2,01,0,000
50963,20124,2,01,011,07,02,01,02,004,009,12:00,13:00,2,0,1,921,2,01,0,000
50964,20124,2,01,011,07,02,01,02,004,010,13:00,15:00,2,0,1,611,2,01,0,000
50965,20124,2,01,011,07,02,01,02,004,011,15:00,15:30,2,0,1,182,2,01,0,000
50966,20124,2,01,011,07,02,01,02,004,012,15:30,16:30,1,2,1,931,1,01,0,000
50967,20124,2,01,011,07,02,01,02,004,013,15:30,16:30,0,0,2,850,1,01,0,000
50968,20124,2,01,011,07,02,01,02,004,014,16:30,17:00,2,0,1,322,1,03,0,000
